exp1 real-hash  (m=1024, T=1000, seed=31337)
All RMSE/bias relative to true n.

           arm      n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip   z_tpm |  bind%
--------------------------------------------------------------------------------------------------------
    ideal-prng   2000  1.00 |   0.03384   0.02208   0.03082 |   34.75    8.92 |   -13.4    -3.6 |  50.50
    ideal-prng   2000  1.02 |   0.03306   0.02371   0.02298 |   28.28   30.48 |   -12.0   -11.6 |  31.10
    ideal-prng   2000  1.10 |   0.03296   0.03275   0.03056 |    0.64    7.30 |    -2.0    -8.3 |   0.60
    ideal-prng   2000  2.00 |   0.03164   0.03164   0.03171 |    0.00   -0.23 |     0.0     2.1 |   0.00
    ideal-prng   8000  1.00 |   0.03035   0.02173   0.03074 |   28.41   -1.29 |   -13.8     0.6 |  51.20
    ideal-prng   8000  1.02 |   0.03161   0.02411   0.02379 |   23.72   24.75 |   -10.7   -10.0 |  26.90
    ideal-prng   8000  1.10 |   0.03005   0.02996   0.02812 |    0.29    6.41 |    -1.0    -8.6 |   0.10
    ideal-prng   8000  2.00 |   0.03154   0.03154   0.03152 |    0.00    0.04 |     0.0    -0.4 |   0.00
    ideal-prng  32000  1.00 |   0.03219   0.02191   0.03072 |   31.93    4.56 |   -15.0    -2.2 |  50.10
    ideal-prng  32000  1.02 |   0.03211   0.02521   0.02499 |   21.48   22.17 |   -10.6    -9.7 |  27.00
    ideal-prng  32000  1.10 |   0.03197   0.03196   0.02997 |    0.04    6.24 |    -1.0   -10.5 |   0.10
    ideal-prng  32000  2.00 |   0.03314   0.03314   0.03321 |    0.00   -0.20 |     0.0     2.0 |   0.00
   words-xxh64   2000  1.00 |   0.03182   0.02237   0.03118 |   29.69    2.00 |   -13.1    -0.9 |  49.90
   words-xxh64   2000  1.02 |   0.03157   0.02340   0.02314 |   25.86   26.69 |   -12.3   -11.1 |  27.10
   words-xxh64   2000  1.10 |   0.03187   0.03175   0.02960 |    0.38    7.15 |    -1.0    -8.9 |   0.10
   words-xxh64   2000  2.00 |   0.03278   0.03278   0.03291 |    0.00   -0.39 |     0.0     3.8 |   0.00
   words-xxh64   8000  1.00 |   0.03085   0.01930   0.02893 |   37.45    6.21 |   -14.8    -2.6 |  53.70
   words-xxh64   8000  1.02 |   0.03082   0.02341   0.02308 |   24.04   25.11 |   -11.5   -10.5 |  28.20
   words-xxh64   8000  1.10 |   0.03081   0.03080   0.02865 |    0.04    7.02 |    -1.0   -10.0 |   0.10
   words-xxh64   8000  2.00 |   0.03149   0.03149   0.03161 |    0.00   -0.38 |     0.0     3.5 |   0.00
   words-xxh64  32000  1.00 |   0.03062   0.01936   0.02930 |   36.78    4.30 |   -13.9    -1.7 |  50.20
   words-xxh64  32000  1.02 |   0.03170   0.02404   0.02381 |   24.15   24.88 |   -12.3   -11.0 |  27.50
   words-xxh64  32000  1.10 |   0.03086   0.03077   0.02881 |    0.27    6.63 |    -1.0    -8.9 |   0.10
   words-xxh64  32000  2.00 |   0.03276   0.03276   0.03291 |    0.00   -0.45 |     0.0     4.4 |   0.00
    words-mmh3   2000  1.00 |   0.03100   0.02055   0.02976 |   33.70    4.00 |   -14.6    -1.8 |  55.80
    words-mmh3   2000  1.02 |   0.03257   0.02365   0.02319 |   27.41   28.80 |    -9.4    -9.1 |  28.60
    words-mmh3   2000  1.10 |   0.03250   0.03249   0.03011 |    0.02    7.34 |    -1.0   -10.1 |   0.10
    words-mmh3   2000  2.00 |   0.03146   0.03146   0.03152 |    0.00   -0.22 |     0.0     2.0 |   0.00
    words-mmh3   8000  1.00 |   0.03070   0.02157   0.03075 |   29.74   -0.16 |   -13.0     0.1 |  49.10
    words-mmh3   8000  1.02 |   0.03136   0.02436   0.02423 |   22.31   22.74 |   -10.5    -9.5 |  25.50
    words-mmh3   8000  1.10 |   0.02924   0.02924   0.02761 |    0.00    5.57 |     0.0    -9.3 |   0.00
    words-mmh3   8000  2.00 |   0.03015   0.03015   0.03023 |    0.00   -0.26 |     0.0     2.3 |   0.00
    words-mmh3  32000  1.00 |   0.03198   0.02504   0.03324 |   21.73   -3.92 |   -12.2     2.3 |  43.90
