POOLED exp2 over 3 seeds (T=1500 trials/cell). z = mean(err_x^2 - err_raw^2)/SE

       arm      m    n/m     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |   z_clip    z_tpm |  bind%
-------------------------------------------------------------------------------------------------------------
xxh64-ints   1024   0.05  1.00 |   0.02299   0.01833   0.02892 |   20.29  -25.75 |   -25.65    27.47 |  64.00
xxh64-ints   1024   0.05  1.02 |   0.02212   0.02015   0.02034 |    8.90    8.05 |   -25.23    -7.64 |  29.80
xxh64-ints   1024   0.05  1.10 |   0.02227   0.02227   0.02170 |    0.00    2.53 |     0.00   -30.81 |   0.00
xxh64-ints   1024   0.10  1.00 |   0.02265   0.01654   0.02803 |   26.98  -23.77 |   -20.64    17.95 |  46.20
xxh64-ints   1024   0.10  1.02 |   0.02282   0.02013   0.02098 |   11.82    8.06 |   -12.88    -5.86 |  25.53
xxh64-ints   1024   0.10  1.10 |   0.02286   0.02286   0.02201 |    0.00    3.72 |     0.00   -20.31 |   0.00
xxh64-ints   1024   0.25  1.00 |   0.02333   0.01675   0.02830 |   28.18  -21.31 |   -17.23    13.71 |  50.87
xxh64-ints   1024   0.25  1.02 |   0.02348   0.01981   0.02076 |   15.61   11.56 |   -12.23    -6.96 |  19.47
xxh64-ints   1024   0.25  1.10 |   0.02296   0.02296   0.02202 |    0.00    4.09 |     0.00   -13.47 |   0.00
xxh64-ints   1024   0.50  1.00 |   0.02433   0.01727   0.02862 |   28.99  -17.65 |   -16.60    10.74 |  50.73
xxh64-ints   1024   0.50  1.02 |   0.02383   0.01976   0.02059 |   17.10   13.60 |   -12.14    -7.66 |  22.80
xxh64-ints   1024   0.50  1.10 |   0.02408   0.02408   0.02296 |    0.00    4.64 |     0.00   -12.94 |   0.00
xxh64-ints   1024   1.00  1.00 |   0.02455   0.01670   0.02816 |   31.97  -14.71 |   -17.92     8.76 |  49.67
xxh64-ints   1024   1.00  1.02 |   0.02410   0.01989   0.02080 |   17.47   13.72 |   -12.51    -7.79 |  18.87
xxh64-ints   1024   1.00  1.10 |   0.02556   0.02556   0.02425 |    0.00    5.12 |     0.00   -12.74 |   0.00
xxh64-ints   1024   2.00  1.00 |   0.02642   0.01781   0.02879 |   32.58   -8.99 |   -16.24     4.85 |  48.67
xxh64-ints   1024   2.00  1.02 |   0.02553   0.02101   0.02135 |   17.72   16.39 |   -13.15    -9.61 |  21.87
xxh64-ints   1024   2.00  1.10 |   0.02671   0.02671   0.02516 |    0.00    5.81 |     0.00   -12.28 |   0.00
