exp2 HLL++ window map  (T=500, seed=31337, hash=xxh64/ints + ideal control)
branch = fraction of trials resolved by linear counting / bias-corrected / raw estimator
sparse* = zone a real HLL++ impl covers with near-exact sparse mode (switch band ~[m/4, 3m/4])

       arm      m    n/m       n     d |  rmse_raw rmse_clip  rmse_tpm |  dCLIP%   dTPM% |  z_clip |  bind% |    lc/bias/raw | sp
---------------------------------------------------------------------------------------------------------------------------------
xxh64-ints   1024   0.05      51  1.00 |   0.02215   0.01706   0.02810 |   23.00  -26.82 |   -15.2 |  66.40 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.05      51  1.02 |   0.02214   0.02014   0.02028 |    9.06    8.41 |   -14.8 |  30.40 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.05      51  1.10 |   0.02320   0.02320   0.02264 |    0.00    2.41 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.10     102  1.00 |   0.02199   0.01567   0.02758 |   28.73  -25.44 |   -12.3 |  45.80 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.10     102  1.02 |   0.02323   0.02052   0.02152 |   11.66    7.37 |    -7.6 |  24.20 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.10     102  1.10 |   0.02144   0.02144   0.02067 |    0.00    3.60 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.25     256  1.00 |   0.02396   0.01714   0.02841 |   28.48  -18.56 |   -10.2 |  52.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.25     256  1.02 |   0.02380   0.02002   0.02081 |   15.89   12.54 |    -6.9 |  20.20 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.25     256  1.10 |   0.02405   0.02405   0.02302 |    0.00    4.28 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.50     512  1.00 |   0.02403   0.01705   0.02854 |   29.05  -18.76 |   -10.0 |  50.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.50     512  1.02 |   0.02417   0.02042   0.02169 |   15.49   10.26 |    -7.0 |  19.40 | 1.00/0.00/0.00 | *
xxh64-ints   1024   0.50     512  1.10 |   0.02464   0.02464   0.02349 |    0.00    4.68 |     0.0 |   0.00 | 1.00/0.00/0.00 | *
xxh64-ints   1024   1.00    1024  1.00 |   0.02443   0.01661   0.02801 |   32.02  -14.66 |   -10.7 |  51.60 | 0.00/1.00/0.00 |  
xxh64-ints   1024   1.00    1024  1.02 |   0.02374   0.02007   0.02119 |   15.48   10.77 |    -6.9 |  17.00 | 0.00/1.00/0.00 |  
xxh64-ints   1024   1.00    1024  1.10 |   0.02630   0.02630   0.02502 |    0.00    4.87 |     0.0 |   0.00 | 0.00/1.00/0.00 |  
xxh64-ints   1024   2.00    2048  1.00 |   0.02603   0.01781   0.02898 |   31.58  -11.35 |    -8.7 |  45.60 | 0.00/1.00/0.00 |  
xxh64-ints   1024   2.00    2048  1.02 |   0.02509   0.02003   0.02058 |   20.18   17.97 |    -7.9 |  21.20 | 0.00/1.00/0.00 |  
