experiment,arm,estimator_family,m,n,d,L,T_per_seed,rmse_raw,rmse_clip,rmse_tpm,dRMSE_clip_pct,dRMSE_tpm_pct,ci_clip_lo,ci_clip_hi,ci_tpm_lo,ci_tpm_hi,z_clip,z_tpm,bind_rate,a_std,clip_worse_than_raw
exp1,ideal-prng,ideal,1024,2000,1.0,2000,,0.033047,0.021606,0.030489,34.622,7.742,,,,,-24.318,-5.75,0.5223,,False
exp1,ideal-prng,ideal,1024,2000,1.02,2040,,0.032094,0.023789,0.023377,25.877,27.159,,,,,-20.08,-18.74,0.2823,,False
exp1,ideal-prng,ideal,1024,2000,1.1,2200,,0.032418,0.032331,0.030124,0.269,7.075,,,,,-2.32,-16.394,0.003,,False
exp1,ideal-prng,ideal,1024,2000,2.0,4000,,0.032504,0.032504,0.032611,0.0,-0.329,,,,,0.0,5.485,0.0,,False
exp1,ideal-prng,ideal,1024,8000,1.0,8000,,0.030025,0.021222,0.030531,29.32,-1.686,,,,,-24.008,1.439,0.4947,,False
exp1,ideal-prng,ideal,1024,8000,1.02,8160,,0.030276,0.023526,0.023542,22.294,22.24,,,,,-19.25,-16.72,0.2547,,False
exp1,ideal-prng,ideal,1024,8000,1.1,8800,,0.030243,0.030206,0.028384,0.121,6.145,,,,,-1.229,-16.435,0.001,,False
exp1,ideal-prng,ideal,1024,8000,2.0,16000,,0.031379,0.031379,0.031412,0.0,-0.106,,,,,0.0,1.713,0.0,,False
exp1,ideal-prng,ideal,1024,32000,1.0,32000,,0.032472,0.022549,0.031285,30.559,3.656,,,,,-23.985,-2.992,0.4827,,False
exp1,ideal-prng,ideal,1024,32000,1.02,32640,,0.031665,0.024798,0.024666,21.688,22.103,,,,,-18.378,-16.63,0.266,,False
exp1,ideal-prng,ideal,1024,32000,1.1,35200,,0.031865,0.03184,0.029874,0.079,6.25,,,,,-1.602,-17.07,0.0013,,False
exp1,ideal-prng,ideal,1024,32000,2.0,64000,,0.032515,0.032515,0.032583,0.0,-0.207,,,,,0.0,3.472,0.0,,False
exp1,words-xxh64,classic-FFGM,1024,2000,1.0,2000,,0.032205,0.022181,0.031022,31.127,3.675,,,,,-23.426,-2.905,0.5057,,False
exp1,words-xxh64,classic-FFGM,1024,2000,1.02,2040,,0.032641,0.024249,0.023921,25.712,26.715,,,,,-20.348,-18.832,0.276,,False
exp1,words-xxh64,classic-FFGM,1024,2000,1.1,2200,,0.032637,0.03256,0.03029,0.236,7.19,,,,,-1.651,-17.061,0.0017,,False
exp1,words-xxh64,classic-FFGM,1024,2000,2.0,4000,,0.032898,0.032898,0.032981,0.0,-0.251,,,,,0.0,4.244,0.0,,False
exp1,words-xxh64,classic-FFGM,1024,8000,1.0,8000,,0.030815,0.019702,0.029343,36.065,4.778,,,,,-23.823,-3.397,0.5237,,False
